model,cv_accuracy,cv_f1_macro,test_accuracy,test_f1_macro,test_log_loss
LogisticRegression,0.4725877192982456,0.4559967498011682,0.4824561403508772,0.46247610036869585,1.0371405153349469
RandomForest,0.5155701754385965,0.4497006734275459,0.5124269005847953,0.4346814484464825,0.9988583196098824
LightGBM,0.4826754385964912,0.4471345613695763,0.4853801169590643,0.45137944736565805,1.0292950067329765
SVM,0.4706140350877194,0.4505301599194758,0.4678362573099415,0.4466583930747103,0.9913234406899655
MLP (PyTorch),0.4942982456140351,0.4637802449803409,0.4853801169590643,0.44645972562033315,1.0060391096110661
